organization,organization_clnd,thes_types, employees
University of Memphis Research Foundation,University of Memphis Research Foundation,Academic,  
University of Miami,University of Miami,Academic,  
University of Miamië‹Diabetes Research Institute,University of Miamië‹Diabetes Research Institute,Academic,  
University of North Carolina,University of North Carolina,Academic,  
University of North Dakota,University of North Dakota,Academic,  
University of Notre Dame Du Lac,University of Notre Dame Du Lac,Academic,  
University of Oregon,University of Oregon,Academic,  
University of Pittsburghë‹of the Commonwealth System of Higher Education,University of Pittsburghë‹of the Commonwealth System of Higher Education,Academic,  
University of Puerto Rico,University of Puerto Rico,Academic,  
University of Rochester,University of Rochester,Academic,  
University of South Florida,University of South Florida,Academic,  
University of Southern California,University of Southern California,Academic,  
University of Tennessee Research Foundation,University of Tennessee Research Foundation,Academic,  
University of Utah Research Foundation,University of Utah Research Foundation,Academic,  
University of Virginia Patent Foundation,University of Virginia Patent Foundation,Academic,  
University of Washington ,University of Washington,Academic,  
University of Washington through its Center for Commercialization,University of Washington through its Center for Commercialization,Academic,  
University of Wyoming,University of Wyoming,Academic,  
VANDERBILT UNIVERSITY CENTER FOR TECHNOLOGY TRANSFER AND COMMERCIALIZATION,VANDERBILT UNIVERSITY CENTER FOR TECHNOLOGY TRANSFER AND COMMERCIALIZATION,Academic,  
VEECO PRECISION SURFACE PROCESSING LLC,VEECO PRECISION SURFACE PROCESSING,Corporate,68
VERILY LIFE SCIENCES LLC,VERILY LIFE SCIENCES,Corporate,497
VERLASE TECHNOLOGIES LLC,VERLASE TECHNOLOGIES,Corporate,2
VIASAT INC.,VIASAT,Corporate,"4,678"
VINDICO NANOBIO TECHNOLOGY INC.,VINDICO NANOBIO TECHNOLOGY,Corporate,3
Vanderbilt University,Vanderbilt University,Academic,  
Virginia Commonwealth University,Virginia Commonwealth University,Academic,  
Visa International Business Machines Corporation,Visa Business Machines,Ambiguous,  
Vizio Inc.,Vizio,Corporate,478
Volterra Semiconductor LLC,Volterra Semiconductor,Corporate,64
Vorbeck Materials Corporation,Vorbeck Materials,Corporate,30
WCA Group LLC,WCA Group,Corporate,5
WELL Shield LLC,WELL Shield,Corporate,12
WHATSAPP INC.,WHATSAPP,Corporate,86
Wake Forest University,Wake Forest University,Academic,  
Washington State University,Washington State University,Academic,  
Washington State University Research Foundation,Washington State University Research Foundation,Academic,  
Washington University,Washington University,Academic,  
Washington University in St. Louis,Washington University in St Louis,Academic,  
Waters Technologies Corporation,Waters Technologies,Corporate,34
Wave Energy Conversion Corporation of America,Wave Energy Conversion of America,Corporate,2
Wayne State University,Wayne State University,Academic,  
Wenger Corporation,Wenger,Corporate,13
West Virginia University,West Virginia University,Academic,  
Whitehead Institute for Biomedical Research ,Whitehead Institute for Biomedical Research,Academic,  
William Marsh Rice University,William Marsh Rice University,Academic,  
Winbond Electronics Corp.,Winbond Electronics Corp,Corporate,757
Wisconsin Alumni Research Foundation,Wisconsin Alumni Research Foundation,Academic,  
Women and Infants' Hospital Rhode Island,Women and Infants' Hospital Rhode Island,Hospital,  
Wright State University,Wright State University,Academic,  
Wyatt Technology Corporation,Wyatt Technology,Corporate,175
X DEVELOPMENT LLC,X DEVELOPMENT,Corporate,28
Xerox Corporation,Xerox,Corporate,303
Xintec Inc.,Xintec,Corporate,30
Yageo Corporation,Yageo,Corporate,290
Yale University,Yale University,Academic,  
Yamaha Corporation,Yamaha,Corporate,"1,590"
Z124,Z124,Ambiguous,  
ZIH Corp.,ZIH Corp,Corporate, -   
Zeno Semiconductor Inc,Zeno Semiconductor,Corporate,743
Zenon Technology Partnership,Zenon Technology Partnership,Government,  
Zephyr Energy Systems LLC,Zephyr Energy Systems,Corporate,178
Zoetis Services LLC,Zoetis Services,Corporate,"7,151"
Zygo Corporation,Zygo,Corporate,374
eSionic Corp.,eSionic Corp,Corporate,2
iNanoBio LLC,iNanoBio,Corporate,8
mVerify Corporation,mVerify,Corporate,365
nLIGHT Photonics Corporation,nLIGHT Photonics,Corporate,406
